,Questions,Answers
210,Convert the below data into Tabular format in HTML5,"S.no., Language, Mostly used for
1, HTML, FrontEnd
2, CSS, FrontEnd
3, Python, BackEnd"
211,What is the difference between <meter> tag and <progress> tag,"<progress> tag should be used when we want to show the completion progress of a task, whereas if we just want a scalar measurement within a known range or fraction value. Also, we can specify multiple extra attributes for <meter> tags like ‘form’, ‘low’, ‘high’, ‘min’, etc."
212,Is drag and drop possible using HTML5 and how,"Yes, in HTML5 we can drag and drop an element. This can be achieved using the drag and drop-related events to be used with the element which we want to drag and drop."
213,What type of audio files can be played using HTML5,HTML5 supports the following three types of audio file formats:mp3/wav/ogg
214,What are the significant goals of the HTML5 specification,"These were the target area of the HTML5 specs:Introduction of new element tags to better structure the web page such as <header> tag.
Forming a standard in cross-browser behavior and support for different devices and platforms
Backward compatible with the older version HTML web pages
Introduction of basic interactive elements without the dependency of plugins such as <video> tag instead of the flash plugin"
215,Explain the concept of web storage in HTML5.,"This web storage helps in storing some of the static data in the local storage of the browser so that we do not need to fetch it from the server every time we need it. There is a size limit based on different browsers. This helps in decreasing the load time and a smooth user experience. There are two types of web storage that are used to store data locally in HTML5:Local Storage - This helps in storing data that will be retained even though the user reopens the browser. It is stored for each webapp on different browsers.
Session Storage - This is used for one session only. After the user closes the browser this gets deleted"
216,What is Microdata in HTML5,"It is used to help extract data for site crawlers and search engines. It is basically a group of name-value pairs. The groups are called items, and each name-value pair is a property. Most of the search engines like Google, Microsoft, Yandex, etc follow schema.org vocabulary to extract this microdata.itemid � The unique, global identifier of an item.
itemprop � Used to add properties to an item.
itemref � Provides a list of element ids with additional properties.
itemscope � It defines the scope of the itemtype associated with it.
itemtype � Specifies the URL of the vocabulary that will be used to define itemprop."
217,Which tag is used for representing the result of a calculation? Explain its attributes.,"The <output> tag is used for representing the result of a calculation. It has the following attributes:for - It defines the relationship between the elements used in calculation and result.
form - This is used to define the form the output element belongs to.
name - The name of the output element."
218,What is new about the relationship between the <header> and <h1> tags in HTML5,"As HTML5 was all about better semantics and arrangements of the tags and elements, the <header> tag specifies the header section of the webpage. Unlike in previous version there was one <h1> element for the entire webpage, now this is the header for one section such as <article> or <section>. According to the HTML5 specification, each <header> element must at least have one <h1> tag."
219,Explain HTML5 Graphics.,HTML5 supports two kinds of graphics:Canvas - It is like drawing on a whitepaper or a blank webpage. We can add different graphic designs on web pages with available methods for drawing various geometrical shapes.SVG - Scalable Vector Graphics are used mostly for diagrams or icons. It follows the XML format.
220,What are the New tags in Media Elements in HTML5,"<audio> - Used for sounds, audio streams, or music, embed audio content without any additional plug-in.
<video> - Used for video streams, embed video content etc.
<source> - Used for multiple media resources in media elements, such as audio, video, etc.
<embed> - Used for an external application or embedded content.
<track> - Used for subtitles in the media elements such as video or audio."
221,Why do you think the addition of drag-and-drop functionality in HTML5 is importantHow will you make an image draggable in HTML5,"The drag and drop functionality is a very intuitive way to select local files. This is similar to what most of the OS have copy functionality thus making it very easy for the user to comprehend. Before the native drag and drop API, this was achievable by writing complex Javascript programming or external frameworks like jQuery."
222,Why do we need the MathML element in HTML5,MathML stands for Mathematical Markup Language. It is used for displaying mathematical expressions on web pages. For this <math> tag is used.
223,What are the server-sent events in HTML5,"The events pushed from the webserver to the browsers are called server-sent events. DOM elements can be continuously updated using these events. This has a major advantage over straight-up polling. In polling, there is a lot of overhead since every time it is establishing an HTTP connection and tearing it down whereas, in server-sent events, there is one long-lived HTTP connection. To use a server-sent event, <eventsource> element is used. The src attribute of this element specifies the URL from which sends a data stream having the events.<eventsource src = ""/cgi-bin/myfile.cgi"" />"
224,What are Web Workers,"These are added to bring parallelism and async capability. It runs in the background to do the computationally expensive tasks without yielding to make the page responsive. It is achieved by starting a separate thread for such tasks. These are not meant to perform UI operations. There are three types of web workers:Dedicated Workers - These are workers that are utilized by a single script.
Shared Workers -These are workers that are utilized by multiple scripts running in different windows, IFrames, etc.
Service Workers - These act as proxy servers between web applications, the browser, and the network. Mostly used for push notifications and sync APIs."
225,What is the usage of a novalidate attribute for the form tag that is introduced in HTML5,"Its value is a boolean type that indicates whether or not the data being submitted by the form will be validated beforehand. By making this false, forms can be submitted without validation which helps users to resume later also."
226,What are raster images and vector images,"Raster Images - The raster image is defined by the arrangement of pixels in a grid with exactly what color the pixel should be. Few raster file formats include PNG(.png), JPEG(.jpg), etc.Vector Images - The vector image is defined using algorithms with shape and path definitions that can be used to render the image on-screen written in a similar markup fashion. The file extension is .svg"
227,How to support SVG in old browsers,"To support old browsers instead of defining the resource of svg in src attribute of <img> tag, it should be defined in srcset attribute and in src the fallback png file should be defined.<img src=""circle.png"" alt=""circle"" srcset=""circle.svg"">"
228,What is a manifest file in HTML5,"The manifest file is used to list down resources that can be cached. Browsers use this information to make the web page load faster than the first time. There are 3 sections in the manifest file CACHE Manifest - Files needs to be cached
Network - File never to be cached, always need a network connection.
Fallback - Fallback files in case a page is inaccessible"
229,What is the Geolocation API in HTML5,"Geolocation API is used to share the physical location of the client with websites. This helps in serving locale-based content and a unique experience to the user, based on their location. This works with a new property of the global navigator object and most of the modern browsers support this."
230,What dies the <abbr> tag do,Defines an abbreviation or acronym
231,How do you modify image dimensions,"with width and height exp: <img src=""img_girl.jpg"" alt=""Girl in a jacket"" width=""500"" height=""600"">"
232,How do you create a table,"<table>
  <tr>
    <td>Emil</td>
    <td>Tobias</td>
    <td>Linus</td>
  </tr>
</table>
  Everything between <td> and </td> are the content of the table cell.Each table row starts with a <tr> and end with a </tr> tag."
233,How to set the size of a specific column,"<table style=""width:100%"">"
234,How to set the height of a specific row,"<tr style=""height:200px"">"
235,What does the <dl> tag do,The <dl> tag defines the description list
236,How to define a division or a section in an HTML document,The <div> element
237,What does the class attribute do,The class attribute is often used to point to a class name in a style sheet. It can also be used by a JavaScript to access and manipulate elements with the specific class name
